LFQ intensity Gua_1	LFQ intensity Gua_2	LFQ intensity Gua_3	LFQ intensity RG/SDC_1	LFQ intensity RG/SDC_2	LFQ intensity RG/SDC_3	LFQ intensity RG_1	LFQ intensity RG_2	LFQ intensity RG_3	LFQ intensity SDC_1	LFQ intensity SDC_2	LFQ intensity SDC_3	LFQ intensity Urea_1	LFQ intensity Urea_2	LFQ intensity Urea_3	Only identified by site	Reverse	Protein IDs	Majority protein IDs	Protein names	Gene names
6.61313	6.84917	6.43485	7.03084	7.1049	6.91679	7.30029	7.12225	7.30462	7.08522	6.75183	6.6646	6.56686	6.48477	6.32854			NP_248701.1;AAG03401.1	NP_248701.1;AAG03401.1		
6.66544	6.28244	6.5862	7.10673	7.05629	7.08146	6.9147	6.95283	6.9461	6.85403	7.054	7.01774	7.22344	6.91984	6.89982			NP_248702.1;AAG03402.1	NP_248702.1;AAG03402.1		
7.23462	7.18839	7.29068	7.4551	7.47773	7.35334	7.28448	7.22425	7.3459	7.30337	7.5332	7.43091	7.6167	7.5776	7.36901			NP_248705.1;AAG03405.1	NP_248705.1;AAG03405.1		
7.92378	7.86793	7.816	7.50989	7.43982	7.33602	7.67437	7.712	7.71799	7.4047	7.18952	7.00604	7.58811	7.64203	7.61842			NP_248706.1;AAG03406.1	NP_248706.1;AAG03406.1		
7.17571	7.12267	7.11428	7.19731	7.05142	7.12418	7.19992	7.15372	7.3329	7.08045	7.03254	6.44469	6.83976	6.98888	7.01833			NP_248707.1;AAG03407.1	NP_248707.1;AAG03407.1		
8.09826	8.07918	8.02776	7.90782	7.89086	7.89388	7.94376	7.96677	7.97622	8.04599	8.15561	8.18199	8.27082	8.16569	8.17275			NP_248708.1;AAG03408.1	NP_248708.1;AAG03408.1		
8.22925	8.215	8.28126	7.97635	7.96951	8.07118	7.94121	8.07835	8.07203	8.01699	7.8929	8.07199	8.10975	8.07063	8.04513			NP_248709.1;AAG03409.1	NP_248709.1;AAG03409.1		
8.20039	8.19739	8.27302	8.51105	8.46256	8.57856	8.34132	8.29203	8.25452	8.3479	8.51685	8.57437	8.46602	8.41347	8.41709			NP_248710.1;AAG03410.1	NP_248710.1;AAG03410.1		
6.87252	6.80427	6.38845	7.06996	7.17673	7.08217	7.03282	7.20298	7.11136	7.1211	7.42815	7.46827	7.38728	7.54673	7.28628			NP_248712.1;AAG03412.1	NP_248712.1;AAG03412.1		
8.47004	8.30542	8.33744	8.40873	8.39752	8.26057	8.57594	8.54915	8.60371	8.63685	8.66939	8.74642	8.79088	8.73082	8.74084			NP_248713.1;AAG03413.1	NP_248713.1;AAG03413.1		
7.99475	7.87864	7.98454	8.28103	8.22727	8.33858	8.12613	8.071	8.05242	8.08318	8.26942	8.28276	8.24177	8.24383	8.19551			NP_248714.1;AAG03414.1	NP_248714.1;AAG03414.1		
